ID,sentence,sentence_shuffled
48,what else can i be returned the uncle when i live in such a world of fools as this merry christmas out upon merry christmas whats christmas time to you but a time for paying bills without money a time for finding yourself a year older but not an hour richer a time for balancing your books and having every item in em through a round dozen of months presented dead against you if i could work my will said scrooge indignantly every idiot who goes about with merry christmas on his lips should be boiled with his own pudding and buried with a stake of holly through his heart,dead balancing heart without bills finding christmas with christmas if your live own will as goes about through every stake time what through my of a his for out item in older an christmas yourself on time a upon his fools i for in presented but the scrooge buried boiled every who world time of else a should with having with can i indignantly not be uncle against paying idiot you dozen this books months year merry returned whats a work be when lips hour a i round of his such merry a to said pudding em but and christmas money you and holly could merry for time a richer
49,he should uncle pleaded the nephew,he should uncle pleaded the nephew
50,nephew returned the uncle sternly keep christmas in your own way and let me keep it in mine keep it repeated scrooges nephew,keep nephew returned repeated me keep it mine own your in in it nephew way uncle sternly the keep and let scrooges christmas
51,but you dont keep it let me leave it alone then said scrooge much good may it do you much good it has ever done you there are many things from which i might have derived good by which i have not profited i dare say returned the nephew,it profited then but me returned nephew much alone do which might ever derived from by it good there dare may i dont much said keep i have good have scrooge are you let you it i many has done the you it say not which good leave things
52,christmas among the rest,rest christmas among the
53,but i am sure i have always thought of christmas time when it has come roundapart from the veneration due to its sacred name and origin if anything belonging to it can be apart from thatas a good time a kind forgiving charitable pleasant time the only time i know of in the long calendar of the year when men and women seem by one consent to open their shutup hearts freely and to think of people below them as if they really were fellowpassengers to the grave and not another race of creatures bound on other journeys,and has year race i pleasant of hearts am time to below if they women anything be apart when thought long to roundapart thatas but to shutup freely the charitable of the if consent them come sure of one by a can time another sacred belonging and their time only origin creatures forgiving in on the really it of the kind fellowpassengers i good a think and to have grave it veneration due and calendar journeys seem were people from open men name from as i to time always other know of not christmas the when its bound
54,and therefore uncle though it has never put a scrap of gold or silver in my pocket i believe that it has done me good and will do me good and i say god bless it the clerk in the tank involuntarily applauded,my never pocket it i me and silver involuntarily and has that bless say or it good in the i done believe and therefore clerk good put the a has of god applauded tank it gold me uncle do scrap though in will
55,becoming immediately sensible of the impropriety he poked the fire and extinguished the last frail spark for ever,last he and frail immediately the the for becoming of the poked fire ever sensible spark impropriety extinguished
56,let me hear another sound from you said scrooge and youll keep your christmas by losing your situation youre quite a powerful speaker sir he added turning to his nephew,from another sound and youll turning powerful he you your quite situation sir me losing added speaker said his to by hear nephew youre christmas a scrooge your let keep
57,i wonder you dont go into parliament dont be angry uncle,wonder angry uncle parliament i be go you dont into dont
58,come dine with us tomorrow scrooge said that he would see himyes indeed he did,himyes see he indeed said did that dine scrooge he tomorrow with us come would
59,he went the whole length of the expression and said that he would see him in that extremity first,that the that length expression said the he of in whole would extremity him first see and he went
60,but why cried scrooges nephew,nephew why cried scrooges but
61,why why did you get married said scrooge because i fell in love because you fell in love growled scrooge as if that were the only one thing in the world more ridiculous than a merry christmas good afternoon nay uncle but you never came to see me before that happened,in love world came afternoon in more you in why good only uncle you nay said fell get that you before a thing that one as why than were if did love scrooge because to growled but happened christmas married i never fell the scrooge the ridiculous me see merry because
62,why give it as a reason for not coming now good afternoon said scrooge i want nothing from you i ask nothing of you why cannot we be friends good afternoon said scrooge i am sorry with all my heart to find you so resolute,a nothing of now good with i from you heart scrooge it you be coming said cannot i ask not reason give want to scrooge said i good find all friends my resolute why for afternoon we why so as afternoon you am nothing sorry
63,we have never had any quarrel to which i have been a party,we which have had i party never any to quarrel a have been
64,but i have made the trial in homage to christmas and ill keep my christmas humour to the last,and have last to i ill but christmas humour trial the keep homage the christmas in to made my
65,so a merry christmas uncle good afternoon said scrooge and a happy new year good afternoon said scrooge his nephew left the room without an angry word notwithstanding,year without left a christmas the uncle room happy notwithstanding said so nephew merry afternoon and scrooge scrooge an his good a afternoon said new word angry good
66,he stopped at the outer door to bestow the greetings of the season on the clerk who cold as he was was warmer than scrooge for he returned them cordially,as clerk he door scrooge greetings he returned than the to warmer on was of the the he was season bestow them who the cordially outer for cold stopped at
67,theres another fellow muttered scrooge who overheard him my clerk with fifteen shillings a week and a wife and family talking about a merry christmas ill retire to bedlam this lunatic in letting scrooges nephew out had let two other people in,other in overheard talking week wife christmas had out let a my another about and a letting with bedlam lunatic scrooge muttered theres who retire scrooges ill to in clerk family shillings nephew fellow him a people two merry and this fifteen
68,they were portly gentlemen pleasant to behold and now stood with their hats off in scrooges office,behold and in office portly scrooges hats now their they gentlemen to stood pleasant with were off
69,they had books and papers in their hands and bowed to him,had him and and to bowed books hands in their they papers
70,scrooge and marleys i believe said one of the gentlemen referring to his list,and to scrooge believe i referring marleys list of one said the gentlemen his
71,have i the pleasure of addressing mr scrooge or mr marley mr,scrooge or mr marley mr i addressing of have pleasure mr the
72,marley has been dead these seven years scrooge replied,marley been seven scrooge these dead replied has years
73,he died seven years ago this very night we have no doubt his liberality is well represented by his surviving partner said the gentleman presenting his credentials,he very credentials well liberality died surviving gentleman we night said presenting doubt partner no ago his this by is represented his seven have years his the
74,it certainly was for they had been two kindred spirits,was two certainly spirits kindred been they had it for
75,at the ominous word liberality scrooge frowned and shook his head and handed the credentials back,liberality credentials handed the ominous head and the and shook back at his frowned word scrooge
76,at this festive season of the year mr scrooge said the gentleman taking up a pen it is more than usually desirable that we should make some slight provision for the poor and destitute who suffer greatly at the present time,year should who slight make this present gentleman some at of more the pen and than a destitute poor provision scrooge said up suffer it season that taking the we the mr festive desirable time usually is greatly the for at
77,many thousands are in want of common necessaries hundreds of thousands are in want of common comforts sir are there no prisons asked scrooge plenty of prisons said the gentleman laying down the pen again,of in thousands hundreds down laying of are comforts of said want gentleman plenty again in common are are thousands prisons many no asked the scrooge prisons necessaries common want the sir of pen there
78,and the union workhouses demanded scrooge are they still in operation they are,still operation they in are are the and workhouses demanded union they scrooge
79,still returned the gentleman i wish i could say they were not the treadmill and the poor law are in full vigour then said scrooge both very busy sir oh i was afraid from what you said at first that something had occurred to stop them in their useful course said scrooge im very glad to hear it under the impression that they scarcely furnish christian cheer of mind or body to the multitude returned the gentleman a few of us are endeavouring to raise a fund to buy the poor some meat and drink and means of warmth,they us said still gentleman to furnish at had a the the or and few first endeavouring it im poor the said a could oh hear you meat fund that law are under they some very was busy drink full multitude stop vigour not to said their returned then body the the impression in glad what the christian raise mind both poor i of and i were useful course of scrooge to i afraid them scarcely cheer wish scrooge something gentleman treadmill to in and returned that from say warmth buy means the sir very are occurred of to
80,we choose this time because it is a time of all others when want is keenly felt and abundance rejoices,abundance rejoices is because keenly of all is this others choose we time when and want time a it felt
81,what shall i put you down for nothing scrooge replied,what shall replied down nothing put you for i scrooge
82,you wish to be anonymous i wish to be left alone said scrooge since you ask me what i wish gentlemen that is my answer,to you be i that ask anonymous wish wish alone answer what be you my me scrooge to gentlemen i said wish left is since
83,i dont make merry myself at christmas and i cant afford to make idle people merry,myself merry i at idle make cant and to people dont christmas make merry afford i
84,i help to support the establishments i have mentionedthey cost enough and those who are badly off must go there many cant go there and many would rather die if they would rather die said scrooge they had better do it and decrease the surplus population,they and the surplus who help establishments die badly had off go die said and would have to there cost if would i rather those they scrooge there enough many it and must the rather population are go many i decrease support do cant better mentionedthey
85,besidesexcuse mei dont know that but you might know it observed the gentleman,observed dont you the mei might know besidesexcuse that know it but gentleman
86,its not my business scrooge returned,returned business scrooge its not my
87,its enough for a man to understand his own business and not to interfere with other peoples,business enough and to not own peoples a his man to other understand interfere with its for
88,mine occupies me constantly,occupies constantly me mine
89,good afternoon gentlemen seeing clearly that it would be useless to pursue their point the gentlemen withdrew,would that afternoon the their point useless to seeing withdrew pursue clearly gentlemen gentlemen good it be
90,scrooge resumed his labours with an improved opinion of himself and in a more facetious temper than was usual with him,scrooge opinion with in than facetious a resumed himself of usual improved temper more him and an with labours was his
91,meanwhile the fog and darkness thickened so that people ran about with flaring links proffering their services to go before horses in carriages and conduct them on their way,carriages services in go links the so and horses thickened their before conduct them way darkness flaring to proffering and about fog people on meanwhile ran with that their
92,the ancient tower of a church whose gruff old bell was always peeping slily down at scrooge out of a gothic window in the wall became invisible and struck the hours and quarters in the clouds with tremulous vibrations afterwards as if its teeth were chattering in its frozen head up there,with scrooge out ancient whose down in there a its tower of gruff the gothic a chattering head became the if old was the as afterwards always and peeping quarters at bell hours slily window frozen invisible up teeth of and wall in were in vibrations the its tremulous struck church clouds
93,the cold became intense,the cold intense became
94,in the main street at the corner of the court some labourers were repairing the gaspipes and had lighted a great fire in a brazier round which a party of ragged men and boys were gathered warming their hands and winking their eyes before the blaze in rapture,in a before were had the great corner blaze in the some repairing warming hands which gaspipes were ragged boys eyes brazier their the their in round rapture of labourers men a court the a and and party of lighted and street main the winking at fire gathered
95,the waterplug being left in solitude its overflowings sullenly congealed and turned to misanthropic ice,solitude in sullenly to turned congealed being left waterplug ice its the overflowings misanthropic and
96,the brightness of the shops where holly sprigs and berries crackled in the lamp heat of the windows made pale faces ruddy as they passed,ruddy crackled passed and windows the of shops lamp berries brightness pale of the made as in they the the where holly faces sprigs heat
97,poulterers and grocers trades became a splendid joke a glorious pageant with which it was next to impossible to believe that such dull principles as bargain and sale had anything to do,trades which a such anything bargain it and to do joke glorious to as dull with and poulterers a impossible grocers next that splendid had pageant was sale to principles became believe
98,the lord mayor in the stronghold of the mighty mansion house gave orders to his fifty cooks and butlers to keep christmas as a lord mayors household should and even the little tailor whom he had fined five shillings on the previous monday for being drunk and bloodthirsty in the streets stirred up tomorrows pudding in his garret while his lean wife and the baby sallied out to buy the beef,fifty to keep drunk to butlers the wife in garret even he mighty lean had in tomorrows mansion as previous his the and and sallied mayors should the a pudding baby streets up little and buy stronghold lord for monday out tailor shillings of and while cooks the the household bloodthirsty orders his in the christmas whom his mayor being on the the lord beef gave fined five to house stirred
99,foggier yet and colder,foggier yet and colder
100,piercing searching biting cold,cold biting piercing searching
101,if the good saint dunstan had but nipped the evil spirits nose with a touch of such weather as that instead of using his familiar weapons then indeed he would have roared to lusty purpose,he dunstan had his as indeed to lusty using that have then weather nose saint purpose of the but good with roared touch nipped would of a familiar evil if weapons the such spirits instead
102,the owner of one scant young nose gnawed and mumbled by the hungry cold as bones are gnawed by dogs stooped down at scrooges keyhole to regale him with a christmas carol but at the first sound of god bless you merry gentleman may nothing you dismay scrooge seized the ruler with such energy of action that the singer fled in terror leaving the keyhole to the fog and even more congenial frost,first at congenial that nothing may ruler the christmas fled action more even such by gentleman to cold keyhole one at merry sound fog energy the dogs but regale nose dismay owner with frost gnawed with of bless the down in hungry stooped are the him scrooge you gnawed as mumbled keyhole of you young scrooges and god the of scant singer and the carol by seized terror the bones leaving a to
103,at length the hour of shutting up the countinghouse arrived,the hour countinghouse the arrived length of shutting up at
104,with an illwill scrooge dismounted from his stool and tacitly admitted the fact to the expectant clerk in the tank who instantly snuffed his candle out and put on his hat,an hat and stool his tacitly admitted the scrooge on his dismounted fact out his the put candle clerk the from in instantly and snuffed illwill to expectant tank with who
105,youll want all day tomorrow i suppose said scrooge if quite convenient sir its not convenient said scrooge and its not fair,convenient all scrooge want its not suppose tomorrow its said day convenient i not quite youll said and fair if sir scrooge
106,if i was to stop halfacrown for it youd think yourself illused ill be bound the clerk smiled faintly,halfacrown stop to i smiled clerk illused was yourself think it the bound be for if youd faintly ill
107,and yet said scrooge you dont think me illused when i pay a days wages for no work the clerk observed that it was only once a year,year observed when a that a think scrooge wages for illused only pay once clerk it said the you work days dont yet was i me and no
108,a poor excuse for picking a mans pocket every twentyfifth of december said scrooge buttoning his greatcoat to the chin,said a december for twentyfifth buttoning of to a chin scrooge picking excuse mans every greatcoat the poor pocket his
109,but i suppose you must have the whole day,whole must suppose the you but i have day
110,be here all the earlier next morning the clerk promised that he would and scrooge walked out with a growl,he that walked out promised and all clerk would next the with a morning the growl earlier scrooge be here
111,the office was closed in a twinkling and the clerk with the long ends of his white comforter dangling below his waist (for he boasted no greatcoat) went down a slide on cornhill at the end of a lane of boys twenty times in honour of its being christmas eve and then ran home to camden town as hard as he could pelt to play at blindmansbuff,home in twinkling he the and honour (for town lane boys went end waist blindmansbuff he and ends in the of the being comforter twenty to office to greatcoat) long times play a hard clerk of no could a at closed his of its camden boasted ran slide pelt dangling down christmas below on cornhill as his eve a white the then was of at with as
112,scrooge took his melancholy dinner in his usual melancholy tavern and having read all the newspapers and beguiled the rest of the evening with his bankersbook went home to bed,usual evening to melancholy with the tavern newspapers of bed his in bankersbook his his and the scrooge all dinner rest beguiled read and took having home went the melancholy
113,he lived in chambers which had once belonged to his deceased partner,partner had belonged in once chambers lived his to he which deceased
114,they were a gloomy suite of rooms in a lowering pile of building up a yard where it had so little business to be that one could scarcely help fancying it must have run there when it was a young house playing at hideandseek with other houses and forgotten the way out again,to one rooms they in gloomy so and way out a business that the up of building could where had have a pile other a was forgotten it little yard there it be a scarcely of must hideandseek suite with young lowering were houses help at playing when it fancying again run house
115,it was old enough now and dreary enough for nobody lived in it but scrooge the other rooms being all let out as offices,enough lived the enough offices but other was nobody in and all out it scrooge dreary let for as old being it rooms now
116,the yard was so dark that even scrooge who knew its every stone was fain to grope with his hands,even that the so who his stone was its fain with every hands grope knew scrooge dark yard was to
117,the fog and frost so hung about the black old gateway of the house that it seemed as if the genius of the weather sat in mournful meditation on the threshold,house mournful about threshold if it the genius in and seemed frost the of meditation the the weather gateway black the on that old sat as fog so of the hung
118,now it is a fact that there was nothing at all particular about the knocker on the door except that it was very large,knocker large it there particular very door the about on it except a was that now the nothing that is all was fact at
119,it is also a fact that scrooge had seen it night and morning during his whole residence in that place also that scrooge had as little of what is called fancy about him as any man in the city of london even includingwhich is a bold wordthe corporation aldermen and livery,had a called is during of place as aldermen bold what scrooge wordthe it about even scrooge had and is it him is little of a man city the whole as includingwhich morning livery that corporation in residence fact london also in fancy his seen any night that also and that
120,let it also be borne in mind that scrooge had not bestowed one thought on marley since his last mention of his seven years dead partner that afternoon,since also dead last of that bestowed in on afternoon partner thought one scrooge it mention had years not marley borne mind be his that seven let his
121,and then let any man explain to me if he can how it happened that scrooge having his key in the lock of the door saw in the knocker without its undergoing any intermediate process of changenot a knocker but marleys face,door intermediate process it then its changenot key a the knocker explain saw to in marleys scrooge how and in but his of the if the any can that let he without knocker lock undergoing any me having of happened face man
122,marleys face,marleys face
123,it was not in impenetrable shadow as the other objects in the yard were but had a dismal light about it like a bad lobster in a dark cellar,a bad like as it not was light shadow about the cellar dark impenetrable were in a the lobster in a in dismal other it yard objects had but
124,it was not angry or ferocious but looked at scrooge as marley used to look with ghostly spectacles turned up on its ghostly forehead,ghostly at looked angry ghostly not ferocious turned spectacles its it but to up forehead as or marley on scrooge look used with was
125,the hair was curiously stirred as if by breath or hot air and though the eyes were wide open they were perfectly motionless,they open was hot hair and stirred if were the eyes breath were as the though by curiously or motionless wide perfectly air
126,that and its livid colour made it horrible but its horror seemed to be in spite of the face and beyond its control rather than a part of its own expression,livid face control of and in the that own expression horror its be part to it beyond a and horrible its than but its its seemed spite made of colour rather
127,as scrooge looked fixedly at this phenomenon it was a knocker again,was it phenomenon at looked scrooge again a fixedly this knocker as
128,to say that he was not startled or that his blood was not conscious of a terrible sensation to which it had been a stranger from infancy would be untrue,it not a blood say that infancy conscious had to to sensation untrue startled or be that from was which been he was stranger terrible a his would of not
129,but he put his hand upon the key he had relinquished turned it sturdily walked in and lighted his candle,but and lighted he hand turned his the it candle in key walked sturdily relinquished put he had upon his
130,he did pause with a moments irresolution before he shut the door and he did look cautiously behind it first as if he half expected to be terrified with the sight of marleys pigtail sticking out into the hall,expected moments terrified sight it he behind with a pause hall and first did the shut door as irresolution to sticking of the look half he marleys the he before if cautiously with be out pigtail did into he
131,but there was nothing on the back of the door except the screws and nuts that held the knocker on so he said pooh pooh and closed it with a bang,nuts closed pooh so bang the knocker held a the with was nothing it said back door and on but pooh except that there on he and the the screws of
132,the sound resounded through the house like thunder,thunder the through like resounded house sound the
133,every room above and every cask in the winemerchants cellars below appeared to have a separate peal of echoes of its own,room a and cask cellars its every below to winemerchants of the have echoes peal above in separate every appeared of own
134,scrooge was not a man to be frightened by echoes,be man frightened not echoes was a by to scrooge
135,he fastened the door and walked across the hall and up the stairs slowly too trimming his candle as he went,as candle slowly door stairs went fastened trimming the too he hall and the and walked up the he across his
136,you may talk vaguely about driving a coachandsix up a good old flight of stairs or through a bad young act of parliament but i mean to say you might have got a hearse up that staircase and taken it broadwise with the splinterbar towards the wall and the door towards the balustrades and done it easy,a young may of the bad wall driving a a stairs have the through coachandsix a mean talk old that got or splinterbar door parliament and taken good it and towards you staircase broadwise of might easy it done vaguely up the to about hearse with and flight act balustrades the i you up but say towards
137,there was plenty of width for that and room to spare which is perhaps the reason why scrooge thought he saw a locomotive hearse going on before him in the gloom,locomotive is spare which that to before perhaps why thought he reason scrooge plenty the on of there him width room saw and going the was hearse in gloom a for
138,halfadozen gaslamps out of the street wouldnt have lighted the entry too well so you may suppose that it was pretty dark with scrooges dip,the well of dip entry dark scrooges was you may lighted the that halfadozen gaslamps wouldnt have so it out pretty with suppose too street
139,up scrooge went not caring a button for that,scrooge not for that up caring button a went
140,darkness is cheap and scrooge liked it,cheap darkness liked is scrooge it and
141,but before he shut his heavy door he walked through his rooms to see that all was right,he heavy but see shut to was he through walked that before rooms his his all right door
142,he had just enough recollection of the face to desire to do that,to the of just enough to that recollection he do had face desire
143,sittingroom bedroom lumberroom,bedroom lumberroom sittingroom
144,all as they should be,all be they as should
145,nobody under the table nobody under the sofa a small fire in the grate spoon and basin ready and the little saucepan of gruel (scrooge had a cold in his head) upon the hob,the cold nobody ready spoon under hob fire the sofa in gruel saucepan in table under nobody little basin upon his head) had a grate (scrooge a the and small the and the of
146,nobody under the bed nobody in the closet nobody in his dressinggown which was hanging up in a suspicious attitude against the wall,bed dressinggown wall under which a closet against nobody in attitude nobody up suspicious in the nobody hanging was the in the his
147,lumberroom as usual,as lumberroom usual
148,old fireguard old shoes two fishbaskets washingstand on three legs and a poker,fireguard on fishbaskets washingstand poker two legs shoes old old and three a
149,quite satisfied he closed his door and locked himself in doublelocked himself in which was not his custom,in in and himself door locked not his quite his doublelocked custom was satisfied he which closed himself
150,thus secured against surprise he took off his cravat put on his dressinggown and slippers and his nightcap and sat down before the fire to take his gruel,the took and his off slippers his against and surprise gruel he to thus take put down nightcap and dressinggown sat cravat before on his his fire secured
151,it was a very low fire indeed nothing on such a bitter night,such a was on very indeed nothing night low fire a it bitter
152,he was obliged to sit close to it and brood over it before he could extract the least sensation of warmth from such a handful of fuel,sensation and the fuel could it before he brood of was sit handful least it of a warmth he to over extract close from to such obliged
