ID,Sentence
32,nobody ever stopped him in the street to say with gladsome looks my dear scrooge how are you when will you come to see me no beggars implored him to bestow a trifle no children asked him what it was oclock no man or woman ever once in all his life inquired the way to such and such a place of scrooge even the blind mens dogs appeared to know him and when they saw him coming on would tug their owners into doorways and up courts and then would wag their tails as though they said no eye at all is better than an evil eye dark master but what did scrooge care it was the very thing he liked
33,to edge his way along the crowded paths of life warning all human sympathy to keep its distance was what the knowing ones call nuts to scrooge once upon a timeof all the good days in the year on christmas eveold scrooge sat busy in his countinghouse
34,it was cold bleak biting weather foggy withal and he could hear the people in the court outside go wheezing up and down beating their hands upon their breasts and stamping their feet upon the pavement stones to warm them
35,the city clocks had only just gone three but it was quite dark already it had not been light all dayand candles were flaring in the windows of the neighbouring offices like ruddy smears upon the palpable brown air
36,the fog came pouring in at every chink and keyhole and was so dense without that although the court was of the narrowest the houses opposite were mere phantoms
37,to see the dingy cloud come drooping down obscuring everything one might have thought that nature lived hard by and was brewing on a large scale
38,the door of scrooges countinghouse was open that he might keep his eye upon his clerk who in a dismal little cell beyond a sort of tank was copying letters
39,scrooge had a very small fire but the clerks fire was so very much smaller that it looked like one coal
40,but he couldnt replenish it for scrooge kept the coalbox in his own room and so surely as the clerk came in with the shovel the master predicted that it would be necessary for them to part
41,wherefore the clerk put on his white comforter and tried to warm himself at the candle in which effort not being a man of a strong imagination he failed
42,a merry christmas uncle god save you cried a cheerful voice
43,it was the voice of scrooges nephew who came upon him so quickly that this was the first intimation he had of his approach
44,bah said scrooge humbug he had so heated himself with rapid walking in the fog and frost this nephew of scrooges that he was all in a glow his face was ruddy and handsome his eyes sparkled and his breath smoked again
45,christmas a humbug uncle said scrooges nephew
46,you dont mean that i am sure i do said scrooge merry christmas what right have you to be merry what reason have you to be merry youre poor enough come then returned the nephew gaily
47,what right have you to be dismal what reason have you to be morose youre rich enough scrooge having no better answer ready on the spur of the moment said bah again and followed it up with humbug dont be cross uncle said the nephew
48,what else can i be returned the uncle when i live in such a world of fools as this merry christmas out upon merry christmas whats christmas time to you but a time for paying bills without money a time for finding yourself a year older but not an hour richer a time for balancing your books and having every item in em through a round dozen of months presented dead against you if i could work my will said scrooge indignantly every idiot who goes about with merry christmas on his lips should be boiled with his own pudding and buried with a stake of holly through his heart
49,he should uncle pleaded the nephew
50,nephew returned the uncle sternly keep christmas in your own way and let me keep it in mine keep it repeated scrooges nephew
51,but you dont keep it let me leave it alone then said scrooge much good may it do you much good it has ever done you there are many things from which i might have derived good by which i have not profited i dare say returned the nephew
52,christmas among the rest
53,but i am sure i have always thought of christmas time when it has come roundapart from the veneration due to its sacred name and origin if anything belonging to it can be apart from thatas a good time a kind forgiving charitable pleasant time the only time i know of in the long calendar of the year when men and women seem by one consent to open their shutup hearts freely and to think of people below them as if they really were fellowpassengers to the grave and not another race of creatures bound on other journeys
54,and therefore uncle though it has never put a scrap of gold or silver in my pocket i believe that it has done me good and will do me good and i say god bless it the clerk in the tank involuntarily applauded
55,becoming immediately sensible of the impropriety he poked the fire and extinguished the last frail spark for ever
56,let me hear another sound from you said scrooge and youll keep your christmas by losing your situation youre quite a powerful speaker sir he added turning to his nephew
57,i wonder you dont go into parliament dont be angry uncle
58,come dine with us tomorrow scrooge said that he would see himyes indeed he did
59,he went the whole length of the expression and said that he would see him in that extremity first
60,but why cried scrooges nephew
61,why why did you get married said scrooge because i fell in love because you fell in love growled scrooge as if that were the only one thing in the world more ridiculous than a merry christmas good afternoon nay uncle but you never came to see me before that happened
62,why give it as a reason for not coming now good afternoon said scrooge i want nothing from you i ask nothing of you why cannot we be friends good afternoon said scrooge i am sorry with all my heart to find you so resolute
63,we have never had any quarrel to which i have been a party
64,but i have made the trial in homage to christmas and ill keep my christmas humour to the last
65,so a merry christmas uncle good afternoon said scrooge and a happy new year good afternoon said scrooge his nephew left the room without an angry word notwithstanding
66,he stopped at the outer door to bestow the greetings of the season on the clerk who cold as he was was warmer than scrooge for he returned them cordially
67,theres another fellow muttered scrooge who overheard him my clerk with fifteen shillings a week and a wife and family talking about a merry christmas ill retire to bedlam this lunatic in letting scrooges nephew out had let two other people in
68,they were portly gentlemen pleasant to behold and now stood with their hats off in scrooges office
69,they had books and papers in their hands and bowed to him
70,scrooge and marleys i believe said one of the gentlemen referring to his list
71,have i the pleasure of addressing mr scrooge or mr marley mr
72,marley has been dead these seven years scrooge replied
73,he died seven years ago this very night we have no doubt his liberality is well represented by his surviving partner said the gentleman presenting his credentials
74,it certainly was for they had been two kindred spirits
75,at the ominous word liberality scrooge frowned and shook his head and handed the credentials back
76,at this festive season of the year mr scrooge said the gentleman taking up a pen it is more than usually desirable that we should make some slight provision for the poor and destitute who suffer greatly at the present time
77,many thousands are in want of common necessaries hundreds of thousands are in want of common comforts sir are there no prisons asked scrooge plenty of prisons said the gentleman laying down the pen again
78,and the union workhouses demanded scrooge are they still in operation they are
79,still returned the gentleman i wish i could say they were not the treadmill and the poor law are in full vigour then said scrooge both very busy sir oh i was afraid from what you said at first that something had occurred to stop them in their useful course said scrooge im very glad to hear it under the impression that they scarcely furnish christian cheer of mind or body to the multitude returned the gentleman a few of us are endeavouring to raise a fund to buy the poor some meat and drink and means of warmth
80,we choose this time because it is a time of all others when want is keenly felt and abundance rejoices
81,what shall i put you down for nothing scrooge replied
82,you wish to be anonymous i wish to be left alone said scrooge since you ask me what i wish gentlemen that is my answer
83,i dont make merry myself at christmas and i cant afford to make idle people merry
84,i help to support the establishments i have mentionedthey cost enough and those who are badly off must go there many cant go there and many would rather die if they would rather die said scrooge they had better do it and decrease the surplus population
85,besidesexcuse mei dont know that but you might know it observed the gentleman
86,its not my business scrooge returned
87,its enough for a man to understand his own business and not to interfere with other peoples
88,mine occupies me constantly
89,good afternoon gentlemen seeing clearly that it would be useless to pursue their point the gentlemen withdrew
90,scrooge resumed his labours with an improved opinion of himself and in a more facetious temper than was usual with him
91,meanwhile the fog and darkness thickened so that people ran about with flaring links proffering their services to go before horses in carriages and conduct them on their way
92,the ancient tower of a church whose gruff old bell was always peeping slily down at scrooge out of a gothic window in the wall became invisible and struck the hours and quarters in the clouds with tremulous vibrations afterwards as if its teeth were chattering in its frozen head up there
93,the cold became intense
94,in the main street at the corner of the court some labourers were repairing the gaspipes and had lighted a great fire in a brazier round which a party of ragged men and boys were gathered warming their hands and winking their eyes before the blaze in rapture
95,the waterplug being left in solitude its overflowings sullenly congealed and turned to misanthropic ice
96,the brightness of the shops where holly sprigs and berries crackled in the lamp heat of the windows made pale faces ruddy as they passed
97,poulterers and grocers trades became a splendid joke a glorious pageant with which it was next to impossible to believe that such dull principles as bargain and sale had anything to do
98,the lord mayor in the stronghold of the mighty mansion house gave orders to his fifty cooks and butlers to keep christmas as a lord mayors household should and even the little tailor whom he had fined five shillings on the previous monday for being drunk and bloodthirsty in the streets stirred up tomorrows pudding in his garret while his lean wife and the baby sallied out to buy the beef
99,foggier yet and colder
100,piercing searching biting cold
101,if the good saint dunstan had but nipped the evil spirits nose with a touch of such weather as that instead of using his familiar weapons then indeed he would have roared to lusty purpose
102,the owner of one scant young nose gnawed and mumbled by the hungry cold as bones are gnawed by dogs stooped down at scrooges keyhole to regale him with a christmas carol but at the first sound of god bless you merry gentleman may nothing you dismay scrooge seized the ruler with such energy of action that the singer fled in terror leaving the keyhole to the fog and even more congenial frost
103,at length the hour of shutting up the countinghouse arrived
104,with an illwill scrooge dismounted from his stool and tacitly admitted the fact to the expectant clerk in the tank who instantly snuffed his candle out and put on his hat
105,youll want all day tomorrow i suppose said scrooge if quite convenient sir its not convenient said scrooge and its not fair
106,if i was to stop halfacrown for it youd think yourself illused ill be bound the clerk smiled faintly
107,and yet said scrooge you dont think me illused when i pay a days wages for no work the clerk observed that it was only once a year
108,a poor excuse for picking a mans pocket every twentyfifth of december said scrooge buttoning his greatcoat to the chin
109,but i suppose you must have the whole day
110,be here all the earlier next morning the clerk promised that he would and scrooge walked out with a growl
111,the office was closed in a twinkling and the clerk with the long ends of his white comforter dangling below his waist (for he boasted no greatcoat) went down a slide on cornhill at the end of a lane of boys twenty times in honour of its being christmas eve and then ran home to camden town as hard as he could pelt to play at blindmansbuff
112,scrooge took his melancholy dinner in his usual melancholy tavern and having read all the newspapers and beguiled the rest of the evening with his bankersbook went home to bed
113,he lived in chambers which had once belonged to his deceased partner
114,they were a gloomy suite of rooms in a lowering pile of building up a yard where it had so little business to be that one could scarcely help fancying it must have run there when it was a young house playing at hideandseek with other houses and forgotten the way out again
115,it was old enough now and dreary enough for nobody lived in it but scrooge the other rooms being all let out as offices
116,the yard was so dark that even scrooge who knew its every stone was fain to grope with his hands
117,the fog and frost so hung about the black old gateway of the house that it seemed as if the genius of the weather sat in mournful meditation on the threshold
118,now it is a fact that there was nothing at all particular about the knocker on the door except that it was very large
119,it is also a fact that scrooge had seen it night and morning during his whole residence in that place also that scrooge had as little of what is called fancy about him as any man in the city of london even includingwhich is a bold wordthe corporation aldermen and livery
120,let it also be borne in mind that scrooge had not bestowed one thought on marley since his last mention of his seven years dead partner that afternoon
121,and then let any man explain to me if he can how it happened that scrooge having his key in the lock of the door saw in the knocker without its undergoing any intermediate process of changenot a knocker but marleys face
122,marleys face
123,it was not in impenetrable shadow as the other objects in the yard were but had a dismal light about it like a bad lobster in a dark cellar
124,it was not angry or ferocious but looked at scrooge as marley used to look with ghostly spectacles turned up on its ghostly forehead
125,the hair was curiously stirred as if by breath or hot air and though the eyes were wide open they were perfectly motionless
126,that and its livid colour made it horrible but its horror seemed to be in spite of the face and beyond its control rather than a part of its own expression
127,as scrooge looked fixedly at this phenomenon it was a knocker again
128,to say that he was not startled or that his blood was not conscious of a terrible sensation to which it had been a stranger from infancy would be untrue
129,but he put his hand upon the key he had relinquished turned it sturdily walked in and lighted his candle
130,he did pause with a moments irresolution before he shut the door and he did look cautiously behind it first as if he half expected to be terrified with the sight of marleys pigtail sticking out into the hall
131,but there was nothing on the back of the door except the screws and nuts that held the knocker on so he said pooh pooh and closed it with a bang
132,the sound resounded through the house like thunder
133,every room above and every cask in the winemerchants cellars below appeared to have a separate peal of echoes of its own
134,scrooge was not a man to be frightened by echoes
135,he fastened the door and walked across the hall and up the stairs slowly too trimming his candle as he went
136,you may talk vaguely about driving a coachandsix up a good old flight of stairs or through a bad young act of parliament but i mean to say you might have got a hearse up that staircase and taken it broadwise with the splinterbar towards the wall and the door towards the balustrades and done it easy
137,there was plenty of width for that and room to spare which is perhaps the reason why scrooge thought he saw a locomotive hearse going on before him in the gloom
138,halfadozen gaslamps out of the street wouldnt have lighted the entry too well so you may suppose that it was pretty dark with scrooges dip
139,up scrooge went not caring a button for that
140,darkness is cheap and scrooge liked it
141,but before he shut his heavy door he walked through his rooms to see that all was right
142,he had just enough recollection of the face to desire to do that
143,sittingroom bedroom lumberroom
144,all as they should be
145,nobody under the table nobody under the sofa a small fire in the grate spoon and basin ready and the little saucepan of gruel (scrooge had a cold in his head) upon the hob
146,nobody under the bed nobody in the closet nobody in his dressinggown which was hanging up in a suspicious attitude against the wall
147,lumberroom as usual
148,old fireguard old shoes two fishbaskets washingstand on three legs and a poker
149,quite satisfied he closed his door and locked himself in doublelocked himself in which was not his custom
150,thus secured against surprise he took off his cravat put on his dressinggown and slippers and his nightcap and sat down before the fire to take his gruel
151,it was a very low fire indeed nothing on such a bitter night
152,he was obliged to sit close to it and brood over it before he could extract the least sensation of warmth from such a handful of fuel
153,the fireplace was an old one built by some dutch merchant long ago and paved all round with quaint dutch tiles designed to illustrate the scriptures there were cains and abels pharaohs daughters queens of sheba angelic messengers descending through the air on clouds like featherbeds abrahams belshazzars apostles putting off to sea in butterboats hundreds of figures to attract his thoughts and yet that face of marley seven years dead came like the ancient prophets rod and swallowed up the whole
154,if each smooth tile had been a blank at first with power to shape some picture on its surface from the disjointed fragments of his thoughts there would have been a copy of old marleys head on every one
155,humbug said scrooge and walked across the room
156,after several turns he sat down again
157,as he threw his head back in the chair his glance happened to rest upon a bell a disused bell that hung in the room and communicated for some purpose now forgotten with a chamber in the highest story of the building
158,it was with great astonishment and with a strange inexplicable dread that as he looked he saw this bell begin to swing
159,it swung so softly in the outset that it scarcely made a sound but soon it rang out loudly and so did every bell in the house
160,this might have lasted half a minute or a minute but it seemed an hour
161,the bells ceased as they had begun together
162,they were succeeded by a clanking noise deep down below as if some person were dragging a heavy chain over the casks in the winemerchants cellar
163,scrooge then remembered to have heard that ghosts in haunted houses were described as dragging chains
164,the cellardoor flew open with a booming sound and then he heard the noise much louder on the floors below then coming up the stairs then coming straight towards his door
165,its humbug still said scrooge i wont believe it his colour changed though when without a pause it came on through the heavy door and passed into the room before his eyes
166,upon its coming in the dying flame leaped up as though it cried i know him marleys ghost and fell again
167,the same face the very same
168,marley in his pigtail usual waistcoat tights and boots the tassels on the latter bristling like his pigtail and his coatskirts and the hair upon his head
169,the chain he drew was clasped about his middle
170,it was long and wound about him like a tail and it was made (for scrooge observed it closely) of cashboxes keys padlocks ledgers deeds and heavy purses wrought in steel
171,his body was transparent so that scrooge observing him and looking through his waistcoat could see the two buttons on his coat behind
172,scrooge had often heard it said that marley had no bowels but he had never believed it until now
173,no nor did he believe it even now
174,though he looked the phantom through and through and saw it standing before him though he felt the chilling influence of its deathcold eyes and marked the very texture of the folded kerchief bound about its head and chin which wrapper he had not observed before he was still incredulous and fought against his senses
175,how now said scrooge caustic and cold as ever
176,what do you want with me muchmarleys voice no doubt about it
177,who are you ask me who i was who were you then said scrooge raising his voice
178,youre particular for a shade he was going to say to a shade but substituted this as more appropriate
179,in life i was your partner jacob marley can youcan you sit down asked scrooge looking doubtfully at him
180,i can do it then scrooge asked the question because he didnt know whether a ghost so transparent might find himself in a condition to take a chair and felt that in the event of its being impossible it might involve the necessity of an embarrassing explanation
181,but the ghost sat down on the opposite side of the fireplace as if he were quite used to it
182,you dont believe in me observed the ghost i dont said scrooge what evidence would you have of my reality beyond that of your senses i dont know said scrooge why do you doubt your senses because said scrooge a little thing affects them
183,a slight disorder of the stomach makes them cheats
184,you may be an undigested bit of beef a blot of mustard a crumb of cheese a fragment of an underdone potato
185,theres more of gravy than of grave about you whatever you are scrooge was not much in the habit of cracking jokes nor did he feel in his heart by any means waggish then
186,the truth is that he tried to be smart as a means of distracting his own attention and keeping down his terror for the spectres voice disturbed the very marrow in his bones
187,to sit staring at those fixed glazed eyes in silence for a moment would play scrooge felt the very deuce with him
188,there was something very awful too in the spectres being provided with an infernal atmosphere of its own
189,scrooge could not feel it himself but this was clearly the case for though the ghost sat perfectly motionless its hair and skirts and tassels were still agitated as by the hot vapour from an oven
190,you see this toothpick said scrooge returning quickly to the charge for the reason just assigned and wishing though it were only for a second to divert the visions stony gaze from himself
191,i do replied the ghost you are not looking at it said scrooge but i see it said the ghost notwithstanding well returned scrooge i have but to swallow this and be for the rest of my days persecuted by a legion of goblins all of my own creation
192,humbug i tell you humbug at this the spirit raised a frightful cry and shook its chain with such a dismal and appalling noise that scrooge held on tight to his chair to save himself from falling in a swoon
193,but how much greater was his horror when the phantom taking off the bandage round its head as if it were too warm to wear indoors its lower jaw dropped down upon its breast scrooge fell upon his knees and clasped his hands before his face
194,mercy he said
195,dreadful apparition why do you trouble me man of the worldly mind replied the ghost do you believe in me or not i do said scrooge i must
196,but why do spirits walk the earth and why do they come to me it is required of every man the ghost returned that the spirit within him should walk abroad among his fellowmen and travel far and wide and if that spirit goes not forth in life it is condemned to do so after death
197,it is doomed to wander through the worldoh woe is meand witness what it cannot share but might have shared on earth and turned to happiness again the spectre raised a cry and shook its chain and wrung its shadowy hands
198,you are fettered said scrooge trembling
199,tell me why i wear the chain i forged in life replied the ghost i made it link by link and yard by yard i girded it on of my own free will and of my own free will i wore it
200,is its pattern strange to you scrooge trembled more and more
201,or would you know pursued the ghost the weight and length of the strong coil you bear yourself it was full as heavy and as long as this seven christmas eves ago
202,you have laboured on it since
203,it is a ponderous chain scrooge glanced about him on the floor in the expectation of finding himself surrounded by some fifty or sixty fathoms of iron cable but he could see nothing
204,jacob he said imploringly
205,old jacob marley tell me more
206,speak comfort to me jacob i have none to give the ghost replied
207,it comes from other regions ebenezer scrooge and is conveyed by other ministers to other kinds of men
208,nor can i tell you what i would
209,a very little more is all permitted to me
210,i cannot rest i cannot stay i cannot linger anywhere
211,my spirit never walked beyond our countinghousemark mein life my spirit never roved beyond the narrow limits of our moneychanging hole and weary journeys lie before me it was a habit with scrooge whenever he became thoughtful to put his hands in his breeches pockets
212,pondering on what the ghost had said he did so now but without lifting up his eyes or getting off his knees
213,you must have been very slow about it jacob scrooge observed in a businesslike manner though with humility and deference
214,slow the ghost repeated
215,seven years dead mused scrooge and travelling all the time the whole time said the ghost no rest no peace
216,incessant torture of remorse you travel fast said scrooge on the wings of the wind replied the ghost you might have got over a great quantity of ground in seven years said scrooge the ghost on hearing this set up another cry and clanked its chain so hideously in the dead silence of the night that the ward would have been justified in indicting it for a nuisance
217,oh captive bound and doubleironed cried the phantom not to know that ages of incessant labour by immortal creatures for this earth must pass into eternity before the good of which it is susceptible is all developed
218,not to know that any christian spirit working kindly in its little sphere whatever it may be will find its mortal life too short for its vast means of usefulness
219,not to know that no space of regret can make amends for one lifes opportunity misused yet such was i oh such was i but you were always a good man of business jacob faltered scrooge who now began to apply this to himself
220,business cried the ghost wringing its hands again
221,mankind was my business
222,the common welfare was my business charity mercy forbearance and benevolence were all my business
223,the dealings of my trade were but a drop of water in the comprehensive ocean of my business it held up its chain at arms length as if that were the cause of all its unavailing grief and flung it heavily upon the ground again
224,at this time of the rolling year the spectre said i suffer most
225,why did i walk through crowds of fellowbeings with my eyes turned down and never raise them to that blessed star which led the wise men to a poor abode were there no poor homes to which its light would have conducted me scrooge was very much dismayed to hear the spectre going on at this rate and began to quake exceedingly
226,hear me cried the ghost my time is nearly gone i will said scrooge but dont be hard upon me dont be flowery jacob pray how it is that i appear before you in a shape that you can see i may not tell
227,i have sat invisible beside you many and many a day it was not an agreeable idea
228,scrooge shivered and wiped the perspiration from his brow
229,that is no light part of my penance pursued the ghost i am here tonight to warn you that you have yet a chance and hope of escaping my fate
230,a chance and hope of my procuring ebenezer you were always a good friend to me said scrooge thankee you will be haunted resumed the ghost by three spirits scrooges countenance fell almost as low as the ghosts had done
231,is that the chance and hope you mentioned jacob he demanded in a faltering voice
232,it is ii think id rather not said scrooge without their visits said the ghost you cannot hope to shun the path i tread
233,expect the first tomorrow when the bell tolls one couldnt i take em all at once and have it over jacob hinted scrooge expect the second on the next night at the same hour
234,the third upon the next night when the last stroke of twelve has ceased to vibrate
235,look to see me no more and look that for your own sake you remember what has passed between us when it had said these words the spectre took its wrapper from the table and bound it round its head as before
236,scrooge knew this by the smart sound its teeth made when the jaws were brought together by the bandage
237,he ventured to raise his eyes again and found his supernatural visitor confronting him in an erect attitude with its chain wound over and about its arm
238,the apparition walked backward from him and at every step it took the window raised itself a little so that when the spectre reached it it was wide open
239,it beckoned scrooge to approach which he did
240,when they were within two paces of each other marleys ghost held up its hand warning him to come no nearer
241,scrooge stopped
242,not so much in obedience as in surprise and fear for on the raising of the hand he became sensible of confused noises in the air incoherent sounds of lamentation and regret wailings inexpressibly sorrowful and selfaccusatory
243,the spectre after listening for a moment joined in the mournful dirge and floated out upon the bleak dark night
244,scrooge followed to the window desperate in his curiosity
245,he looked out
246,the air was filled with phantoms wandering hither and thither in restless haste and moaning as they went
247,every one of them wore chains like marleys ghost some few (they might be guilty governments) were linked together none were free
248,many had been personally known to scrooge in their lives
249,he had been quite familiar with one old ghost in a white waistcoat with a monstrous iron safe attached to its ankle who cried piteously at being unable to assist a wretched woman with an infant whom it saw below upon a doorstep
250,the misery with them all was clearly that they sought to interfere for good in human matters and had lost the power for ever
251,whether these creatures faded into mist or mist enshrouded them he could not tell
252,but they and their spirit voices faded together and the night became as it had been when he walked home
253,scrooge closed the window and examined the door by which the ghost had entered
254,it was doublelocked as he had locked it with his own hands and the bolts were undisturbed
255,he tried to say humbug but stopped at the first syllable
256,and being from the emotion he had undergone or the fatigues of the day or his glimpse of the invisible world or the dull conversation of the ghost or the lateness of the hour much in need of repose went straight to bed without undressing and fell asleep upon the instant
257,stave ii the first of the three spirits when scrooge awoke it was so dark that looking out of bed he could scarcely distinguish the transparent window from the opaque walls of his chamber
258,he was endeavouring to pierce the darkness with his ferret eyes when the chimes of a neighbouring church struck the four quarters
259,so he listened for the hour
260,to his great astonishment the heavy bell went on from six to seven and from seven to eight and regularly up to twelve then stopped
261,twelve it was past two when he went to bed
262,the clock was wrong
263,an icicle must have got into the works
264,twelve he touched the spring of his repeater to correct this most preposterous clock
265,its rapid little pulse beat twelve and stopped
266,why it isnt possible said scrooge that i can have slept through a whole day and far into another night
267,it isnt possible that anything has happened to the sun and this is twelve at noon the idea being an alarming one he scrambled out of bed and groped his way to the window
268,he was obliged to rub the frost off with the sleeve of his dressinggown before he could see anything and could see very little then
269,all he could make out was that it was still very foggy and extremely cold and that there was no noise of people running to and fro and making a great stir as there unquestionably would have been if night had beaten off bright day and taken possession of the world
270,this was a great relief because three days after sight of this first of exchange pay to mr ebenezer scrooge or his order and so forth would have become a mere united states security if there were no days to count by
271,scrooge went to bed again and thought and thought and thought it over and over and over and could make nothing of it
272,the more he thought the more perplexed he was and the more he endeavoured not to think the more he thought
273,marleys ghost bothered him exceedingly
274,every time he resolved within himself after mature inquiry that it was all a dream his mind flew back again like a strong spring released to its first position and presented the same problem to be worked all through was it a dream or not scrooge lay in this state until the chime had gone three quarters more when he remembered on a sudden that the ghost had warned him of a visitation when the bell tolled one
275,he resolved to lie awake until the hour was passed and considering that he could no more go to sleep than go to heaven this was perhaps the wisest resolution in his power
276,the quarter was so long that he was more than once convinced he must have sunk into a doze unconsciously and missed the clock
277,at length it broke upon his listening ear
278,ding dong a quarter past said scrooge counting
279,ding dong halfpast said scrooge ding dong a quarter to it said scrooge ding dong the hour itself said scrooge triumphantly and nothing else he spoke before the hour bell sounded which it now did with a deep dull hollow melancholy one light flashed up in the room upon the instant and the curtains of his bed were drawn
280,the curtains of his bed were drawn aside i tell you by a hand
281,not the curtains at his feet nor the curtains at his back but those to which his face was addressed
282,the curtains of his bed were drawn aside and scrooge starting up into a halfrecumbent attitude found himself face to face with the unearthly visitor who drew them as close to it as i am now to you and i am standing in the spirit at your elbow
283,it was a strange figurelike a child yet not so like a child as like an old man viewed through some supernatural medium which gave him the appearance of having receded from the view and being diminished to a childs proportions
284,its hair which hung about its neck and down its back was white as if with age and yet the face had not a wrinkle in it and the tenderest bloom was on the skin
285,the arms were very long and muscular the hands the same as if its hold were of uncommon strength
286,its legs and feet most delicately formed were like those upper members bare
287,it wore a tunic of the purest white and round its waist was bound a lustrous belt the sheen of which was beautiful
288,it held a branch of fresh green holly in its hand and in singular contradiction of that wintry emblem had its dress trimmed with summer flowers
289,but the strangest thing about it was that from the crown of its head there sprung a bright clear jet of light by which all this was visible and which was doubtless the occasion of its using in its duller moments a great extinguisher for a cap which it now held under its arm
290,even this though when scrooge looked at it with increasing steadiness was not its strangest quality
291,for as its belt sparkled and glittered now in one part and now in another and what was light one instant at another time was dark so the figure itself fluctuated in its distinctness being now a thing with one arm now with one leg now with twenty legs now a pair of legs without a head now a head without a body of which dissolving parts no outline would be visible in the dense gloom wherein they melted away
292,and in the very wonder of this it would be itself again distinct and clear as ever
293,are you the spirit sir whose coming was foretold to me asked scrooge i am the voice was soft and gentle
294,singularly low as if instead of being so close beside him it were at a distance
295,who and what are you scrooge demanded
296,i am the ghost of christmas past long past inquired scrooge observant of its dwarfish stature
297,no
298,your past perhaps scrooge could not have told anybody why if anybody could have asked him but he had a special desire to see the spirit in his cap and begged him to be covered
299,what exclaimed the ghost would you so soon put out with worldly hands the light i give is it not enough that you are one of those whose passions made this cap and force me through whole trains of years to wear it low upon my brow scrooge reverently disclaimed all intention to offend or any knowledge of having wilfully bonneted the spirit at any period of his life
300,he then made bold to inquire what business brought him there
301,your welfare said the ghost scrooge expressed himself much obliged but could not help thinking that a night of unbroken rest would have been more conducive to that end
302,the spirit must have heard him thinking for it said immediately your reclamation then
303,take heed it put out its strong hand as it spoke and clasped him gently by the arm
304,rise and walk with me it would have been in vain for scrooge to plead that the weather and the hour were not adapted to pedestrian purposes that bed was warm and the thermometer a long way below freezing that he was clad but lightly in his slippers dressinggown and nightcap and that he had a cold upon him at that time
305,the grasp though gentle as a womans hand was not to be resisted
306,he rose but finding that the spirit made towards the window clasped his robe in supplication
307,i am a mortal scrooge remonstrated and liable to fall bear but a touch of my hand there said the spirit laying it upon his heart and you shall be upheld in more than this as the words were spoken they passed through the wall and stood upon an open country road with fields on either hand
308,the city had entirely vanished
309,not a vestige of it was to be seen
310,the darkness and the mist had vanished with it for it was a clear cold winter day with snow upon the ground
311,good heaven said scrooge clasping his hands together as he looked about him
312,i was bred in this place
313,i was a boy here the spirit gazed upon him mildly
314,its gentle touch though it had been light and instantaneous appeared still present to the old mans sense of feeling
315,he was conscious of a thousand odours floating in the air each one connected with a thousand thoughts and hopes and joys and cares long long forgotten your lip is trembling said the ghost and what is that upon your cheek scrooge muttered with an unusual catching in his voice that it was a pimple and begged the ghost to lead him where he would
